feature,importance
koi_score,0.1763746498043578
koi_fpflag_ss,0.05149699432286434
koi_max_mult_ev,0.04840417314288942
koi_dicco_msky,0.0400818735411453
koi_fpflag_co,0.03909355329104559
koi_dikco_msky,0.035614095246416524
koi_prad,0.03242335203148772
koi_prad_err1,0.026094844672793185
koi_model_snr,0.026083688458072966
koi_fpflag_nt,0.025153628996888375
koi_prad_err2,0.019727995858157103
koi_ror,0.01869516830439116
koi_fwm_sra_err,0.01537215531026462
koi_smet_err2,0.014375016852548257
koi_fwm_sdec_err,0.01391597986233029
koi_fpflag_ec,0.013735043204720864
koi_count,0.013682594137144259
koi_dor,0.013555624000018512
koi_ror_err2,0.010539083038268728
koi_fwm_sdeco_err,0.01046601875969184
koi_duration_err1,0.010149626364760378
koi_depth,0.009903345073943613
koi_steff_err1,0.009780722618250571
koi_fwm_stat_sig,0.009275901747836553
koi_fwm_srao_err,0.008648260404083598
koi_insol_err1,0.008516863651032304
koi_duration_err2,0.008253313317625723
koi_time0_err2,0.0075577133878862845
koi_smet_err1,0.007196970507012676
koi_dikco_msky_err,0.007147065487686511
koi_dicco_msky_err,0.006870340508636968
koi_dicco_mra_err,0.006622400721079395
koi_steff_err2,0.006530762006277415
koi_ror_err1,0.006319136529678226
koi_incl,0.006263542743612155
koi_time0bk_err2,0.006058423447351141
koi_dikco_mdec_err,0.005934527000802659
koi_time0bk_err1,0.00593015007596051
koi_time0_err1,0.005758978467339922
koi_teq,0.00573706588583771
koi_insol_err2,0.005585980115439161
koi_impact,0.005378431951551275
koi_fwm_prao_err,0.0053090305536076035
koi_num_transits,0.005296143152744034
koi_dicco_mra,0.005200298695620402
koi_max_sngle_ev,0.005199382783917195
koi_dikco_mra_err,0.00516146234436861
koi_insol,0.005154952000911133
koi_duration,0.0049145407092213485
koi_dikco_mdec,0.00484423145501427
koi_dicco_mdec_err,0.004741809174040213
koi_fwm_sdeco,0.004683925702196104
koi_period,0.004449096120759966
koi_dicco_mdec,0.0044290649322298896
koi_srho_err2,0.004418598871266284
koi_sma,0.004393772689471273
koi_srho,0.004340913985240077
koi_srho_err1,0.004165588781758615
koi_depth_err2,0.004162834632098222
koi_fwm_srao,0.003906228754634545
koi_dor_err1,0.003706211300432702
koi_dikco_mra,0.003705233241759911
koi_dor_err2,0.003585194566402658
koi_period_err2,0.003552088175700546
koi_fwm_pdeco_err,0.003508675524035684
koi_smass_err1,0.0032732984938457044
koi_period_err1,0.0031732763968680524
koi_impact_err1,0.003104132548236837
koi_time0,0.003071025104849357
koi_smet,0.0030314050168764916
koi_depth_err1,0.00302972329839727
koi_srad_err1,0.002915768638616726
koi_impact_err2,0.002911188815071024
koi_smass_err2,0.0028589844318983575
koi_fwm_sra,0.0028049397147590664
koi_time0bk,0.002780632148871894
koi_bin_oedp_sig,0.002541139777912807
dec,0.0025282862812364216
koi_slogg_err1,0.002508273736804173
ra,0.0024948311019229257
kepid,0.0024591991998996992
koi_slogg_err2,0.0024576488389317476
koi_slogg,0.00242976533597391
koi_srad,0.0023710790145589646
koi_fwm_pdeco,0.002366259227020904
koi_srad_err2,0.0023644521627161
koi_fwm_prao,0.0023604421210141275
koi_steff,0.0023110834743768176
koi_fwm_sdec,0.0022484912723389704
koi_kmag,0.002168257439367612
koi_ldm_coeff1,0.00215575717979373
koi_smass,0.002144394882603353
koi_gmag,0.0021382823916711213
koi_kepmag,0.0021264755089384843
koi_hmag,0.002042617886248379
koi_rmag,0.0020105050965403366
koi_zmag,0.0020075092921963593
koi_hmag_err,0.0019974835249517804
koi_imag,0.001954365574975634
koi_ldm_coeff2,0.0018593981111435377
koi_kmag_err,0.0018004881831053937
koi_jmag,0.00176752440002869
koi_jmag_err,0.0016314214075355301
koi_tce_plnt_num,0.0006658599712889399
koi_eccen,0.0
dec_err,0.0
koi_ldm_coeff3,0.0
koi_ldm_coeff4,0.0
ra_err,0.0
