feature,importance
koi_prad,0.19886991030983894
koi_depth,0.1509629390644796
koi_period,0.10988794947898718
koi_impact,0.09857589713058136
koi_duration,0.0981463174663989
koi_teq,0.09335241432732562
koi_kepmag,0.07421327346155823
koi_time0bk,0.06590030394988308
koi_srad,0.05756874414535013
koi_smass,0.05252225066559705
